,Pos,Salary,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conference,Division,FG&
115,SG,6395160.0,21.0,MIN,34.0,7.0,14.7,2.0,4.9,0.411,0.9538461538461539,1.6,0.245,1.6,3.4,0.487,0.449,1.4921428571428574,1.4,0.604,1.0,3.0129496402877693,3.972413793103448,0.7,0.5,0.3,0.8,1.7,5.3,Western Conference,Northwest Division,0.411
116,PF,8186047.0,30.0,PHI,57.0,57.0,28.7,4.5,9.7,0.467,2.2,2.7007246376811596,0.45,2.3,4.8,0.485,0.582,1.2,1.4,0.896,0.2,2.2,2.4,2.7,0.8,0.1,1.1,1.7,12.5,Eastern Conference,Central Division,0.467
117,PG,45780966.0,32.0,GSW,63.0,63.0,34.2,10.4,21.7,0.482,5.3,12.7,0.421,5.1,9.0,0.49312408759124093,0.605,5.7,6.3,0.916,0.5,5.0,5.5,5.8,1.2,0.1,3.4,1.9,32.0,Western Conference,Pacific Division,0.482
118,PF,35361360.0,27.0,LAL,36.0,36.0,32.3,8.4,17.0,0.491,0.7,2.8,0.26,7.6,14.3,0.536,0.512,4.4,5.9,0.738,1.7,6.2,3.972413793103448,1.7468965517241377,1.3,1.6,2.1,1.7,21.8,Western Conference,Pacific Division,0.491
119,PG,2641691.0,31.0,MIN,23.0,7.0,13.0,0.8,1.9,,0.0,0.0,0.2928267716535433,0.8,1.9,0.432,0.432,0.4,0.5,0.833,2.0,3.0,5.0,0.9,0.6,0.6,0.3,2.4,2.1,Western Conference,Northwest Division,0.4327323943661972
120,SG,4000000.0,23.0,ORL,34.0,4.0,14.5,2.6,7.287769784172662,0.414,1.3,3.6,0.2928267716535433,1.3,2.6,0.489,0.519,1.4921428571428574,0.5,0.889,0.3,1.7,1.9,1.1,0.5,0.2,0.9,1.6391304347826086,6.9,Eastern Conference,Atlantic Division,0.414
121,SG,9100448.459183674,23.0,SAC,27.0,0.0,21.5,4.0,9.1,0.439,0.9538461538461539,5.4,0.372,2.0,3.7,0.535,0.549,1.1,1.4,0.784,0.4,2.9,3.3,1.7,1.0,0.44592592592592595,1.3,1.8,11.1,Western Conference,Pacific Division,0.439
122,PF,1690507.0,25.0,OKC,10.0,0.0,21.2,3.2,6.7,,0.9538461538461539,1.5,0.133,3.0,5.2,0.577,0.5006492537313433,1.8,2.2,0.818,1.6,3.0129496402877693,4.0,2.4,0.8,0.0,0.6,0.9,8.87410071942446,Western Conference,Northwest Division,0.4327323943661972
123,C,5256308.0,25.872340425531913,MIA,16.0,0.0,13.1,2.9,7.287769784172662,0.708,0.1,0.3,0.2928267716535433,2.8,3.8,0.75,0.715,1.4921428571428574,1.7,0.741,1.8,3.6,5.4,0.8,0.6,0.4,0.8,2.3,7.1,Eastern Conference,Southeast Division,0.708
124,PG,9100448.459183674,30.0,CLE,13.0,1.0,20.094890510948904,1.1,4.3,0.25,0.3,1.9,0.16,0.8,2.4,0.323,0.286,0.3,0.3,1.0,0.5,1.4,1.8,4.5,0.3,0.1,0.5,1.6391304347826086,2.8,Eastern Conference,Central Division,0.25
125,PF,26000000.0,31.0,ORL,61.0,61.0,33.7,7.5,15.1,0.495,0.3,1.2,0.2928267716535433,7.1,13.9,0.515,0.505,6.3,7.2,0.88,0.7,3.0129496402877693,4.2,1.7468965517241377,0.9,0.2,2.0,2.1,21.6,Western Conference,Southwest Division,0.495
126,PF,9100448.459183674,24.0,MIL,14.0,1.0,10.1,1.1,2.9,0.4,0.1,0.6,0.125,1.1,2.3,0.469,0.5006492537313433,1.4921428571428574,1.0,0.786,0.6,1.9,2.4,0.6,0.5,0.4,1.0654676258992806,1.1,3.1,Eastern Conference,Central Division,0.4
127,SG,5200000.0,22.0,OKC,32.0,,23.8,4.5,7.287769784172662,0.481,0.9538461538461539,2.7007246376811596,0.293,4.1,8.0,0.512,0.502,2.6,4.1,0.629,1.2,4.0,5.2,2.4,1.0,0.4,1.5,2.6,11.9,Eastern Conference,Northwest Division,0.481
128,SF,5200000.0,22.0,DET,20.0,4.0,23.3,4.1,8.7,0.468,0.8,2.1,0.2928267716535433,3.3,6.6,0.492,0.514,2.3,3.4,0.662,1.1,4.3,5.4,1.2,0.5,0.6,1.4,2.6,11.2,Eastern Conference,Central Division,0.468
129,C,4000000.0,31.0,MEM,22.0,1.0,16.9,2.5,4.9,0.519,1.0,2.2,0.479,1.5,2.7,0.55,0.625,1.7,2.0,0.884,1.3,3.2,4.5,1.3,0.8,0.6,1.0,1.7,7.9,Western Conference,Southwest Division,0.519
130,C,4000000.0,31.0,SAS,16.0,,20.094890510948904,1.8,3.4,0.527,0.4,1.4,0.318,1.4,2.1,0.667,0.591,1.3,1.5,0.833,0.8,3.0129496402877693,2.6,1.2,0.6,0.1,0.6,1.1,5.3,Western Conference,Southwest Division,0.527
131,SG,4675830.0,25.872340425531913,MIL,66.0,66.0,27.5,3.8,9.1,0.42,2.0,2.7007246376811596,0.379,1.8,3.9,0.475,0.528,0.8,1.1,0.718,1.2,4.5,5.8,3.1,1.1,0.2,1.4,1.7,10.4,Eastern Conference,Central Division,0.42
132,PG,10174391.0,21.0,DAL,66.0,66.0,34.3,9.8,20.5,0.479,2.9,8.3,0.2928267716535433,6.9,12.2,0.567,0.55,5.2,7.1,0.73,0.8,7.2,8.0,8.6,1.0,0.5,4.3,2.3,27.7,Western Conference,Southwest Division,0.479
